"Original","New"
"Noraxon MyoMotion-Segments-Upper spine-Acceleration-z (mG)","Noraxon MyoMotion-Segments-Scapular LT-Acceleration-z (mG)"
"Noraxon MyoMotion-Segments-Upper spine-Gyroscope-x (deg/s)","Noraxon MyoMotion-Segments-Scapular LT-Gyroscope-x (deg/s)"
"Noraxon MyoMotion-Segments-Upper spine-Gyroscope-y (deg/s)","Noraxon MyoMotion-Segments-Scapular LT-Gyroscope-y (deg/s)"
"Noraxon MyoMotion-Segments-Upper spine-Gyroscope-z (deg/s)","Noraxon MyoMotion-Segments-Scapular LT-Gyroscope-z (deg/s)"
"Noraxon MyoMotion-Segments-Upper spine-Magnetometer-x (mGauss)","Noraxon MyoMotion-Segments-Scapular LT-Magnetometer-x (mGauss)"
"Noraxon MyoMotion-Segments-Upper spine-Magnetometer-y (mGauss)","Noraxon MyoMotion-Segments-Scapular LT-Magnetometer-y (mGauss)"
"Noraxon MyoMotion-Segments-Upper spine-Magnetometer-z (mGauss)","Noraxon MyoMotion-Segments-Scapular LT-Magnetometer-z (mGauss)"
"Upper spine course (deg)","Scapular course LT (deg)"
"Upper spine pitch (deg)","Scapular pitch LT (deg)"
"Upper spine roll (deg)","Scapular roll LT (deg)"
"Upper Spine Tilt Fwd (deg)","Noraxon MyoMotion-Segments-Scapular LT-Tilt Fwd (deg)"
"Upper Spine Tilt Lat LT (deg)","Noraxon MyoMotion-Segments-Scapular LT-Tilt Lat LT (deg)"
"Upper Spine Rotation LT (deg)","Noraxon MyoMotion-Segments-Scapular LT-Rotation LT (deg)"
"Upper Spine Tilt Lat RT (deg)","Noraxon MyoMotion-Segments-Scapular LT-Tilt Lat RT (deg)"
"Upper Spine Rotation RT (deg)","Noraxon MyoMotion-Segments-Scapular LT-Rotation RT (deg)"
"Noraxon MyoMotion-Segments-Head-Orientation-x","Noraxon MyoMotion-Segments-Scapular RT-Orientation-x"
"Noraxon MyoMotion-Segments-Head-Orientation-y","Noraxon MyoMotion-Segments-Scapular RT-Orientation-y"
"Noraxon MyoMotion-Segments-Head-Orientation-z","Noraxon MyoMotion-Segments-Scapular RT-Orientation-z"
"Noraxon MyoMotion-Segments-Head-Orientation-w","Noraxon MyoMotion-Segments-Scapular RT-Orientation-w"
"Head Accel Sensor X (mG)","Scapular Accel Sensor X RT (mG)"
"Head Accel Sensor Y (mG)","Scapular Accel Sensor Y RT (mG)"
"Head Accel Sensor Z (mG)","Scapular Accel Sensor Z RT (mG)"
"Noraxon MyoMotion-Segments-Head-Acceleration-x (mG)","Noraxon MyoMotion-Segments-Scapular RT-Acceleration-x (mG)"
"Noraxon MyoMotion-Segments-Head-Acceleration-y (mG)","Noraxon MyoMotion-Segments-Scapular RT-Acceleration-y (mG)"
"Noraxon MyoMotion-Segments-Head-Acceleration-z (mG)","Noraxon MyoMotion-Segments-Scapular RT-Acceleration-z (mG)"
"Noraxon MyoMotion-Segments-Head-Gyroscope-x (deg/s)","Noraxon MyoMotion-Segments-Scapular RT-Gyroscope-x (deg/s)"
"Noraxon MyoMotion-Segments-Head-Gyroscope-y (deg/s)","Noraxon MyoMotion-Segments-Scapular RT-Gyroscope-y (deg/s)"
"Noraxon MyoMotion-Segments-Head-Gyroscope-z (deg/s)","Noraxon MyoMotion-Segments-Scapular RT-Gyroscope-z (deg/s)"
"Noraxon MyoMotion-Segments-Head-Magnetometer-x (mGauss)","Noraxon MyoMotion-Segments-Scapular RT-Magnetometer-x (mGauss)"
"Noraxon MyoMotion-Segments-Head-Magnetometer-y (mGauss)","Noraxon MyoMotion-Segments-Scapular RT-Magnetometer-y (mGauss)"
"Noraxon MyoMotion-Segments-Head-Magnetometer-z (mGauss)","Noraxon MyoMotion-Segments-Scapular RT-Magnetometer-z (mGauss)"
"Head course (deg)","Scapular course RT (deg)"
"Head pitch (deg)","Scapular pitch RT (deg)"
"Head roll (deg)","Scapular roll RT (deg)"
"Head Tilt Fwd (deg)","Noraxon MyoMotion-Segments-Scapular RT-Tilt Fwd (deg)"
"Head Tilt Lat LT (deg)","Noraxon MyoMotion-Segments-Scapular RT-Tilt Lat LT (deg)"
"Head Rotation LT (deg)","Noraxon MyoMotion-Segments-Scapular RT-Rotation LT (deg)"
"Head Tilt Lat RT (deg)","Noraxon MyoMotion-Segments-Scapular RT-Tilt Lat RT (deg)"
"Head Rotation RT (deg)","Noraxon MyoMotion-Segments-Scapular RT-Rotation RT (deg)"
"Noraxon MyoMotion-Segments-Upper arm LT-Orientation-x","Noraxon MyoMotion-Segments-SC-Orientation-x"
"Noraxon MyoMotion-Segments-Upper arm LT-Orientation-y","Noraxon MyoMotion-Segments-SC-Orientation-y"
"Noraxon MyoMotion-Segments-Upper arm LT-Orientation-z","Noraxon MyoMotion-Segments-SC-Orientation-z"
"Noraxon MyoMotion-Segments-Upper arm LT-Orientation-w","Noraxon MyoMotion-Segments-SC-Orientation-w"
"Upper arm Accel Sensor X LT (mG)","SC Accel Sensor X (mG)"
"Upper arm Accel Sensor Y LT (mG)","SC Accel Sensor Y (mG)"
"Upper arm Accel Sensor Z LT (mG)","SC Accel Sensor Z (mG)"
"Noraxon MyoMotion-Segments-Upper arm LT-Acceleration-x (mG)","Noraxon MyoMotion-Segments-SC-Acceleration-x (mG)"
"Noraxon MyoMotion-Segments-Upper arm LT-Acceleration-y (mG)","Noraxon MyoMotion-Segments-SC-Acceleration-y (mG)"
"Noraxon MyoMotion-Segments-Upper arm LT-Acceleration-z (mG)","Noraxon MyoMotion-Segments-SC-Acceleration-z (mG)"
