"Original","New"
"Noraxon MyoMotion-Segments-Upper arm RT-Magnetometer-y (mGauss)","Noraxon MyoMotion-Segments-C-Magnetometer-y (mGauss)"
"Noraxon MyoMotion-Segments-Upper arm RT-Magnetometer-z (mGauss)","Noraxon MyoMotion-Segments-C-Magnetometer-z (mGauss)"
"Upper arm course RT (deg)","C course (deg)"
"Upper arm pitch RT (deg)","C pitch (deg)"
"Upper arm roll RT (deg)","C roll (deg)"
"Upper Arm Tilt Fwd RT (deg)","Noraxon MyoMotion-Segments-C-Tilt Fwd (deg)"
"Upper Arm Tilt Med RT (deg)","Noraxon MyoMotion-Segments-C-Tilt Med (deg)"
"Upper Arm Rotation Ext RT (deg)","Noraxon MyoMotion-Segments-C-Rotation Ext (deg)"
"Noraxon MyoMotion-Segments-Forearm RT-Orientation-x","Noraxon MyoMotion-Segments-HIP RT-Orientation-x"
"Noraxon MyoMotion-Segments-Forearm RT-Orientation-y","Noraxon MyoMotion-Segments-HIP RT-Orientation-y"
"Noraxon MyoMotion-Segments-Forearm RT-Orientation-z","Noraxon MyoMotion-Segments-HIP RT-Orientation-z"
"Noraxon MyoMotion-Segments-Forearm RT-Orientation-w","Noraxon MyoMotion-Segments-HIP RT-Orientation-w"
"Forearm Accel Sensor X RT (mG)","HIP Accel Sensor X RT (mG)"
"Forearm Accel Sensor Y RT (mG)","HIP Accel Sensor Y RT (mG)"
"Forearm Accel Sensor Z RT (mG)","HIP Accel Sensor Z RT (mG)"
"Noraxon MyoMotion-Segments-Forearm RT-Acceleration-x (mG)","Noraxon MyoMotion-Segments-HIP RT-Acceleration-x (mG)"
"Noraxon MyoMotion-Segments-Forearm RT-Acceleration-y (mG)","Noraxon MyoMotion-Segments-HIP RT-Acceleration-y (mG)"
"Noraxon MyoMotion-Segments-Forearm RT-Acceleration-z (mG)","Noraxon MyoMotion-Segments-HIP RT-Acceleration-z (mG)"
"Noraxon MyoMotion-Segments-Forearm RT-Gyroscope-x (deg/s)","Noraxon MyoMotion-Segments-HIP RT-Gyroscope-x (deg/s)"
"Noraxon MyoMotion-Segments-Forearm RT-Gyroscope-y (deg/s)","Noraxon MyoMotion-Segments-HIP RT-Gyroscope-y (deg/s)"
"Noraxon MyoMotion-Segments-Forearm RT-Gyroscope-z (deg/s)","Noraxon MyoMotion-Segments-HIP RT-Gyroscope-z (deg/s)"
"Noraxon MyoMotion-Segments-Forearm RT-Magnetometer-x (mGauss)","Noraxon MyoMotion-Segments-HIP RT-Magnetometer-x (mGauss)"
"Noraxon MyoMotion-Segments-Forearm RT-Magnetometer-y (mGauss)","Noraxon MyoMotion-Segments-HIP RT-Magnetometer-y (mGauss)"
"Noraxon MyoMotion-Segments-Forearm RT-Magnetometer-z (mGauss)","Noraxon MyoMotion-Segments-HIP RT-Magnetometer-z (mGauss)"
"Forearm course RT (deg)","HIP course RT (deg)"
"Forearm pitch RT (deg)","HIP pitch RT (deg)"
"Forearm roll RT (deg)","HIP roll RT (deg)"
"Forearm Tilt Fwd RT (deg)","Noraxon MyoMotion-Segments-HIP RT-Tilt Fwd (deg)"
"Forearm Tilt Med RT (deg)","Noraxon MyoMotion-Segments-HIP RT-Tilt Med (deg)"
"Forearm Rotation Ext RT (deg)","Noraxon MyoMotion-Segments-HIP RT-Rotation Ext (deg)"
"Noraxon MyoMotion-Segments-Hand RT-Orientation-x","Noraxon MyoMotion-Segments-Knee RT-Orientation-x"
"Noraxon MyoMotion-Segments-Hand RT-Orientation-y","Noraxon MyoMotion-Segments-Knee RT-Orientation-y"
"Noraxon MyoMotion-Segments-Hand RT-Orientation-z","Noraxon MyoMotion-Segments-Knee RT-Orientation-z"
"Noraxon MyoMotion-Segments-Hand RT-Orientation-w","Noraxon MyoMotion-Segments-Knee RT-Orientation-w"
"Hand Accel Sensor X RT (mG)","Knee Accel Sensor X RT (mG)"
"Hand Accel Sensor Y RT (mG)","Knee Accel Sensor Y RT (mG)"
"Hand Accel Sensor Z RT (mG)","Knee Accel Sensor Z RT (mG)"
"Noraxon MyoMotion-Segments-Hand RT-Acceleration-x (mG)","Noraxon MyoMotion-Segments-Knee RT-Acceleration-x (mG)"
"Noraxon MyoMotion-Segments-Hand RT-Acceleration-y (mG)","Noraxon MyoMotion-Segments-Knee RT-Acceleration-y (mG)"
"Noraxon MyoMotion-Segments-Hand RT-Acceleration-z (mG)","Noraxon MyoMotion-Segments-Knee RT-Acceleration-z (mG)"
"Noraxon MyoMotion-Segments-Hand RT-Gyroscope-x (deg/s)","Noraxon MyoMotion-Segments-Knee RT-Gyroscope-x (deg/s)"
"Noraxon MyoMotion-Segments-Hand RT-Gyroscope-y (deg/s)","Noraxon MyoMotion-Segments-Knee RT-Gyroscope-y (deg/s)"
"Noraxon MyoMotion-Segments-Hand RT-Gyroscope-z (deg/s)","Noraxon MyoMotion-Segments-Knee RT-Gyroscope-z (deg/s)"
"Noraxon MyoMotion-Segments-Hand RT-Magnetometer-x (mGauss)","Noraxon MyoMotion-Segments-Knee RT-Magnetometer-x (mGauss)"
"Noraxon MyoMotion-Segments-Hand RT-Magnetometer-y (mGauss)","Noraxon MyoMotion-Segments-Knee RT-Magnetometer-y (mGauss)"
"Noraxon MyoMotion-Segments-Hand RT-Magnetometer-z (mGauss)","Noraxon MyoMotion-Segments-Knee RT-Magnetometer-z (mGauss)"
"Hand course RT (deg)","Knee course RT (deg)"
"Hand pitch RT (deg)","Knee pitch RT (deg)"
"Hand roll RT (deg)","Knee roll RT (deg)"
"Hand Tilt Fwd RT (deg)","Noraxon MyoMotion-Segments-Knee RT-Tilt Fwd (deg)"
"Hand Tilt Med RT (deg)","Noraxon MyoMotion-Segments-Knee RT-Tilt Med (deg)"
"Hand Rotation Ext RT (deg)","Noraxon MyoMotion-Segments-Knee RT-Rotation Ext (deg)"
"Noraxon MyoMotion-Segments-Thigh RT-Orientation-x","Noraxon MyoMotion-Segments-Shoulder RT-Orientation-x"
"Noraxon MyoMotion-Segments-Thigh RT-Orientation-y","Noraxon MyoMotion-Segments-Shoulder RT-Orientation-y"
"Noraxon MyoMotion-Segments-Thigh RT-Orientation-z","Noraxon MyoMotion-Segments-Shoulder RT-Orientation-z"
"Noraxon MyoMotion-Segments-Thigh RT-Orientation-w","Noraxon MyoMotion-Segments-Shoulder RT-Orientation-w"
"Thigh Accel Sensor X RT (mG)","Shoulder Accel Sensor X RT (mG)"
"Thigh Accel Sensor Y RT (mG)","Shoulder Accel Sensor Y RT (mG)"
"Thigh Accel Sensor Z RT (mG)","Shoulder Accel Sensor Z RT (mG)"
"Noraxon MyoMotion-Segments-Thigh RT-Acceleration-x (mG)","Noraxon MyoMotion-Segments-Shoulder RT-Acceleration-x (mG)"
"Noraxon MyoMotion-Segments-Thigh RT-Acceleration-y (mG)","Noraxon MyoMotion-Segments-Shoulder RT-Acceleration-y (mG)"
"Noraxon MyoMotion-Segments-Thigh RT-Acceleration-z (mG)","Noraxon MyoMotion-Segments-Shoulder RT-Acceleration-z (mG)"
"Noraxon MyoMotion-Segments-Thigh RT-Gyroscope-x (deg/s)","Noraxon MyoMotion-Segments-Shoulder RT-Gyroscope-x (deg/s)"
"Noraxon MyoMotion-Segments-Thigh RT-Gyroscope-y (deg/s)","Noraxon MyoMotion-Segments-Shoulder RT-Gyroscope-y (deg/s)"
"Noraxon MyoMotion-Segments-Thigh RT-Gyroscope-z (deg/s)","Noraxon MyoMotion-Segments-Shoulder RT-Gyroscope-z (deg/s)"
"Noraxon MyoMotion-Segments-Thigh RT-Magnetometer-x (mGauss)","Noraxon MyoMotion-Segments-Shoulder RT-Magnetometer-x (mGauss)"
"Noraxon MyoMotion-Segments-Thigh RT-Magnetometer-y (mGauss)","Noraxon MyoMotion-Segments-Shoulder RT-Magnetometer-y (mGauss)"
"Noraxon MyoMotion-Segments-Thigh RT-Magnetometer-z (mGauss)","Noraxon MyoMotion-Segments-Shoulder RT-Magnetometer-z (mGauss)"
"Thigh course RT (deg)","Shoulder course RT (deg)"
"Thigh pitch RT (deg)","Shoulder pitch RT (deg)"
"Thigh roll RT (deg)","Shoulder roll RT (deg)"
"Thigh Tilt Fwd RT (deg)","Noraxon MyoMotion-Segments-Shoulder RT-Tilt Fwd (deg)"
"Thigh Tilt Med RT (deg)","Noraxon MyoMotion-Segments-Shoulder RT-Tilt Med (deg)"
"Thigh Rotation Ext RT (deg)","Noraxon MyoMotion-Segments-Shoulder RT-Rotation Ext (deg)"
"Noraxon MyoMotion-Segments-Shank RT-Orientation-x","Noraxon MyoMotion-Segments-PSIS RT-Orientation-x"
"Noraxon MyoMotion-Segments-Shank RT-Orientation-y","Noraxon MyoMotion-Segments-PSIS RT-Orientation-y"
"Noraxon MyoMotion-Segments-Shank RT-Orientation-z","Noraxon MyoMotion-Segments-PSIS RT-Orientation-z"
"Noraxon MyoMotion-Segments-Shank RT-Orientation-w","Noraxon MyoMotion-Segments-PSIS RT-Orientation-w"
"Shank Accel Sensor X RT (mG)","PSIS Accel Sensor X RT (mG)"
"Shank Accel Sensor Y RT (mG)","PSIS Accel Sensor Y RT (mG)"
"Shank Accel Sensor Z RT (mG)","PSIS Accel Sensor Z RT (mG)"
"Noraxon MyoMotion-Segments-Shank RT-Acceleration-x (mG)","Noraxon MyoMotion-Segments-PSIS RT-Acceleration-x (mG)"
"Noraxon MyoMotion-Segments-Shank RT-Acceleration-y (mG)","Noraxon MyoMotion-Segments-PSIS RT-Acceleration-y (mG)"
"Noraxon MyoMotion-Segments-Shank RT-Acceleration-z (mG)","Noraxon MyoMotion-Segments-PSIS RT-Acceleration-z (mG)"
"Noraxon MyoMotion-Segments-Shank RT-Gyroscope-x (deg/s)","Noraxon MyoMotion-Segments-PSIS RT-Gyroscope-x (deg/s)"
"Noraxon MyoMotion-Segments-Shank RT-Gyroscope-y (deg/s)","Noraxon MyoMotion-Segments-PSIS RT-Gyroscope-y (deg/s)"
"Noraxon MyoMotion-Segments-Shank RT-Gyroscope-z (deg/s)","Noraxon MyoMotion-Segments-PSIS RT-Gyroscope-z (deg/s)"
"Noraxon MyoMotion-Segments-Shank RT-Magnetometer-x (mGauss)","Noraxon MyoMotion-Segments-PSIS RT-Magnetometer-x (mGauss)"
"Noraxon MyoMotion-Segments-Shank RT-Magnetometer-y (mGauss)","Noraxon MyoMotion-Segments-PSIS RT-Magnetometer-y (mGauss)"
"Noraxon MyoMotion-Segments-Shank RT-Magnetometer-z (mGauss)","Noraxon MyoMotion-Segments-PSIS RT-Magnetometer-z (mGauss)"
"Shank course RT (deg)","PSIS course RT (deg)"
"Shank pitch RT (deg)","PSIS pitch RT (deg)"
"Shank roll RT (deg)","PSIS roll RT (deg)"
"Shank Tilt Fwd RT (deg)","Noraxon MyoMotion-Segments-PSIS RT-Tilt Fwd (deg)"
"Shank Tilt Med RT (deg)","Noraxon MyoMotion-Segments-PSIS RT-Tilt Med (deg)"
"Shank Rotation Ext RT (deg)","Noraxon MyoMotion-Segments-PSIS RT-Rotation Ext (deg)"
"Noraxon MyoMotion-Segments-Foot RT-Orientation-x","Noraxon MyoMotion-Segments-Foot RT-Orientation-x"
"Noraxon MyoMotion-Segments-Foot RT-Orientation-y","Noraxon MyoMotion-Segments-Foot RT-Orientation-y"
"Noraxon MyoMotion-Segments-Foot RT-Orientation-z","Noraxon MyoMotion-Segments-Foot RT-Orientation-z"
"Noraxon MyoMotion-Segments-Foot RT-Orientation-w","Noraxon MyoMotion-Segments-Foot RT-Orientation-w"
"Foot Accel Sensor X RT (mG)","Foot Accel Sensor X RT (mG)"
"Foot Accel Sensor Y RT (mG)","Foot Accel Sensor Y RT (mG)"
"Foot Accel Sensor Z RT (mG)","Foot Accel Sensor Z RT (mG)"
"Noraxon MyoMotion-Segments-Foot RT-Acceleration-x (mG)","Noraxon MyoMotion-Segments-Foot RT-Acceleration-x (mG)"
"Noraxon MyoMotion-Segments-Foot RT-Acceleration-y (mG)","Noraxon MyoMotion-Segments-Foot RT-Acceleration-y (mG)"
"Noraxon MyoMotion-Segments-Foot RT-Acceleration-z (mG)","Noraxon MyoMotion-Segments-Foot RT-Acceleration-z (mG)"
"Noraxon MyoMotion-Segments-Foot RT-Gyroscope-x (deg/s)","Noraxon MyoMotion-Segments-Foot RT-Gyroscope-x (deg/s)"
"Noraxon MyoMotion-Segments-Foot RT-Gyroscope-y (deg/s)","Noraxon MyoMotion-Segments-Foot RT-Gyroscope-y (deg/s)"
"Noraxon MyoMotion-Segments-Foot RT-Gyroscope-z (deg/s)","Noraxon MyoMotion-Segments-Foot RT-Gyroscope-z (deg/s)"
"Noraxon MyoMotion-Segments-Foot RT-Magnetometer-x (mGauss)","Noraxon MyoMotion-Segments-Foot RT-Magnetometer-x (mGauss)"
"Noraxon MyoMotion-Segments-Foot RT-Magnetometer-y (mGauss)","Noraxon MyoMotion-Segments-Foot RT-Magnetometer-y (mGauss)"
"Noraxon MyoMotion-Segments-Foot RT-Magnetometer-z (mGauss)","Noraxon MyoMotion-Segments-Foot RT-Magnetometer-z (mGauss)"
"Noraxon MyoMotion-Segments-Foot RT-Contact","Noraxon MyoMotion-Segments-Foot RT-Contact"
"Foot course RT (deg)","Foot course RT (deg)"
"Foot pitch RT (deg)","Foot pitch RT (deg)"
"Foot roll RT (deg)","Foot roll RT (deg)"
"Foot Tilt Fwd RT (deg)","Noraxon MyoMotion-Segments-Foot RT-Tilt Fwd (deg)"
"Foot Tilt Med RT (deg)","Noraxon MyoMotion-Segments-Foot RT-Tilt Med (deg)"
"Foot Rotation Ext RT (deg)","Noraxon MyoMotion-Segments-Foot RT-Rotation Ext (deg)"
